Instancias\Testes\Evolutivo Instancia-Ins2-Pr0.010000-Pm0.010000-Ger250-Pop250-Iter100;;;;;;;;
Iteracao;Probbilidade de mutacao;Probabilidade de crossover;Tamanho da populacao;Maximo Geracoes;Solucao;MBF;Percentagem de Invalidos;Melhor
45;0.010000;0.010000;250;250;6 9 17 21 23 24 27 30 31 33 34 38 40 41 42 50 53 55 63 ;-275.822235;100.000000;0
46;0.010000;0.010000;250;250;2 3 4 8 12 13 14 15 20 22 23 36 41 42 44 51 52 62 64 ;-276.565216;100.000000;0
47;0.010000;0.010000;250;250;1 7 11 22 23 25 26 28 30 31 34 38 46 47 49 51 58 59 62 ;-277.361694;100.000000;0
48;0.010000;0.010000;250;250;4 9 19 20 29 31 35 36 40 46 51 56 59 60 62 64 ;-275.958344;100.000000;0
49;0.010000;0.010000;250;250;4 6 21 23 28 29 30 31 38 44 46 48 51 52 57 59 60 62 63 ;-276.489807;100.000000;0
50;0.010000;0.010000;250;250;1 2 7 9 11 12 15 19 23 26 28 35 49 51 54 55 56 60 64 ;-277.000000;100.000000;0
51;0.010000;0.010000;250;250;14 15 16 19 23 24 31 32 33 39 44 47 48 50 53 56 62 63 ;-276.901947;100.000000;0
52;0.010000;0.010000;250;250;1 2 4 6 7 9 17 29 30 37 38 39 50 51 52 59 62 ;-276.269226;100.000000;0
53;0.010000;0.010000;250;250;4 8 9 12 18 21 25 28 38 42 44 47 50 57 59 60 62 64 ;-276.301880;100.000000;0
54;0.010000;0.010000;250;250;3 5 7 8 11 17 19 21 23 25 30 31 38 48 50 51 60 63 ;-276.296295;100.000000;0
55;0.010000;0.010000;250;250;1 4 7 14 18 19 21 22 25 29 30 37 53 55 56 57 61 64 ;-276.254547;100.000000;0
56;0.010000;0.010000;250;250;1 7 8 9 11 12 16 27 32 34 41 43 45 52 54 57 62 ;-275.678558;100.000000;0
57;0.010000;0.010000;250;250;6 7 10 17 19 20 24 25 28 35 36 39 42 56 57 59 64 ;-275.157898;100.000000;0
58;0.010000;0.010000;250;250;2 4 6 7 12 14 23 33 35 37 39 48 53 57 59 64 ;-274.103455;100.000000;0
59;0.010000;0.010000;250;250;3 5 7 8 9 10 12 15 17 27 33 35 38 41 44 55 59 61 ;-274.237274;100.000000;0
60;0.010000;0.010000;250;250;3 6 14 15 16 24 26 29 37 38 39 45 48 50 52 53 57 58 ;-274.333344;100.000000;0
61;0.010000;0.010000;250;250;2 6 9 14 18 20 21 30 32 33 35 38 40 41 44 49 62 64 ;-274.360657;100.000000;0
62;0.010000;0.010000;250;250;4 7 10 12 13 15 20 21 22 25 37 38 47 53 56 61 ;-273.451599;100.000000;0
63;0.010000;0.010000;250;250;2 4 8 9 10 13 15 17 18 19 35 39 42 47 49 52 57 60 61 64 ;-274.571442;100.000000;0
64;0.010000;0.010000;250;250;6 11 12 14 20 22 26 34 40 41 43 47 48 53 56 61 62 64 ;-274.625000;100.000000;0
65;0.010000;0.010000;250;250;5 10 12 13 16 17 19 20 27 28 39 40 42 43 47 55 57 58 61 ;-275.138458;100.000000;0
66;0.010000;0.010000;250;250;2 7 11 12 15 16 17 23 24 25 26 33 36 48 50 52 56 60 ;-275.151520;100.000000;0
67;0.010000;0.010000;250;250;1 2 3 10 11 13 15 17 18 23 26 32 36 42 50 53 58 64 ;-275.104492;100.000000;0
68;0.010000;0.010000;250;250;2 5 6 14 15 16 21 23 31 34 36 37 42 44 46 51 55 57 58 ;-275.470581;100.000000;0
69;0.010000;0.010000;250;250;1 10 12 13 16 17 21 26 27 29 31 32 35 37 38 51 52 58 60 ;-275.942017;100.000000;0
70;0.010000;0.010000;250;250;1 3 5 8 14 20 22 24 29 31 33 37 38 45 52 55 59 60 ;-275.971436;100.000000;0
71;0.010000;0.010000;250;250;2 4 5 6 9 18 19 24 34 36 38 40 44 50 54 57 59 61 ;-275.887329;100.000000;0
72;0.010000;0.010000;250;250;10 11 15 17 22 23 30 31 34 35 36 39 41 43 48 52 59 64 ;-275.944458;100.000000;0
73;0.010000;0.010000;250;250;1 3 5 7 9 18 20 21 24 30 34 38 40 53 56 57 59 60 64 ;-276.383575;100.000000;0
