Instancias\Testes\Evolutivo Instancia-Ins1-Pr0.050000-Pm0.050000-Ger50-Pop50-Iter10,
Iteracao,Probbilidade de mutacao,Probabilidade de crossover,Tamanho da populacao,Maximo Geracoes,Solucao,MBF,Percentagem de Invalidos,Melhor,
0,0.050000,0.050000,50,50,19 22 23 27 ,-inf,100.000000,0,
1,0.050000,0.050000,50,50,3 8 9 12 16 17 18 20 ,-26.000000,100.000000,0,
2,0.050000,0.050000,50,50,4 10 14 18 19 28 ,-19.000000,100.000000,0,
3,0.050000,0.050000,50,50,10 11 22 25 26 ,-15.333333,100.000000,0,
4,0.050000,0.050000,50,50,4 6 10 12 14 20 ,-15.000000,100.000000,0,
5,0.050000,0.050000,50,50,3 6 9 10 11 23 ,-15.600000,100.000000,0,
6,0.050000,0.050000,50,50,1 8 11 12 14 22 23 ,-15.666667,100.000000,0,
7,0.050000,0.050000,50,50,5 8 9 16 17 18 20 ,-15.714286,100.000000,0,
8,0.050000,0.050000,50,50,1 21 25 ,-14.500000,100.000000,0,
9,0.050000,0.050000,50,50,4 6 8 11 14 19 21 ,-15.111111,100.000000,0,
0,0.050000,0.050000,50,50,19 22 23 27 ,-13.600000,100.000000,0,
