Instancias\Testes\Evolutivo Instancia-Ins2-Pr0.050000-Pm0.050000-Ger250-Pop250-Iter10,
Iteracao,Probbilidade de mutacao,Probabilidade de crossover,Tamanho da populacao,Maximo Geracoes,Solucao,MBF,Percentagem de Invalidos,Melhor,
0,0.050000,0.050000,250,250,1 2 5 7 9 20 27 31 32 33 34 40 47 48 55 58 60 63 ,-inf,100.000000,0,
1,0.050000,0.050000,250,250,4 7 9 10 17 19 20 29 36 39 41 42 49 50 55 58 59 61 ,-552.000000,100.000000,0,
2,0.050000,0.050000,250,250,1 3 9 10 16 17 22 26 31 32 33 34 35 40 45 54 55 64 ,-416.000000,100.000000,0,
3,0.050000,0.050000,250,250,2 4 5 8 11 12 23 26 28 29 34 36 38 39 41 44 64 ,-360.000000,100.000000,0,
4,0.050000,0.050000,250,250,3 4 6 8 13 15 21 30 36 40 45 51 56 57 59 60 63 64 ,-338.500000,100.000000,0,
5,0.050000,0.050000,250,250,1 2 4 8 20 23 24 30 32 38 42 45 47 50 54 58 ,-313.200012,100.000000,0,
6,0.050000,0.050000,250,250,4 14 15 17 18 29 33 34 37 43 48 50 53 54 55 56 62 63 ,-307.666656,100.000000,0,
7,0.050000,0.050000,250,250,1 3 6 8 9 16 18 27 30 33 36 41 44 45 53 62 63 ,-299.714294,100.000000,0,
8,0.050000,0.050000,250,250,3 5 7 13 26 27 29 37 38 39 40 41 42 43 45 49 55 59 ,-296.000000,100.000000,0,
9,0.050000,0.050000,250,250,2 3 4 7 10 12 20 25 32 39 46 48 49 50 51 56 64 ,-290.222229,100.000000,0,
5,0.050000,0.050000,250,250,1 2 4 8 20 23 24 30 32 38 42 45 47 50 54 58 ,-261.200012,100.000000,0,
