Instancias\Testes\Evolutivo Instancia-Ins1-Pr0.010000-Pm0.010000-Ger10-Pop10-Iter10,
Iteracao,Probbilidade de mutacao,Probabilidade de crossover,Tamanho da populacao,Maximo Geracoes,Solucao,MBF,Percentagem de Invalidos,Melhor,
0,0.010000,0.010000,10,10,12 15 17 19 23 24 25 26 ,-inf,100.000000,0,
1,0.010000,0.010000,10,10,1 4 9 10 16 20 21 22 26 28 ,-76.000000,100.000000,0,
2,0.010000,0.010000,10,10,2 4 7 9 11 15 16 19 25 ,-55.000000,100.000000,0,
3,0.010000,0.010000,10,10,3 11 13 15 16 17 21 ,-42.666668,100.000000,0,
4,0.010000,0.010000,10,10,2 5 7 8 11 13 17 ,-38.000000,100.000000,0,
5,0.010000,0.010000,10,10,3 6 10 12 14 15 20 ,-34.400002,100.000000,0,
6,0.010000,0.010000,10,10,18 22 25 26 28 ,-29.666666,100.000000,0,
7,0.010000,0.010000,10,10,1 3 5 6 14 15 16 21 24 27 ,-33.142857,100.000000,0,
8,0.010000,0.010000,10,10,6 8 9 10 15 17 18 20 23 26 28 ,-35.000000,100.000000,0,
9,0.010000,0.010000,10,10,4 7 8 13 14 15 16 20 27 ,-35.333332,100.000000,0,
6,0.010000,0.010000,10,10,18 22 25 26 28 ,-31.799999,100.000000,0,
