Instancias\Testes\Evolutivo Instancia-Ins2-Pr0.250000-Pm0.250000-Ger50-Pop50-Iter10,
Iteracao,Probbilidade de mutacao,Probabilidade de crossover,Tamanho da populacao,Maximo Geracoes,Solucao,MBF,Percentagem de Invalidos,Melhor,
0,0.250000,0.250000,50,50,2 3 6 11 14 16 18 19 22 30 32 38 39 42 43 46 50 51 53 60 63 ,-inf,100.000000,0,
1,0.250000,0.250000,50,50,1 2 5 6 9 15 16 19 22 29 31 33 34 38 39 45 46 50 55 57 ,-726.000000,100.000000,0,
2,0.250000,0.250000,50,50,2 6 7 9 10 12 14 16 28 37 38 41 45 51 54 55 58 60 ,-498.000000,100.000000,0,
3,0.250000,0.250000,50,50,1 4 6 10 15 34 36 37 39 40 41 47 53 58 ,-387.333344,100.000000,0,
4,0.250000,0.250000,50,50,2 10 15 34 39 40 41 47 49 50 51 53 55 58 62 64 ,-343.000000,100.000000,0,
5,0.250000,0.250000,50,50,7 9 10 18 21 25 26 27 28 31 32 34 41 42 45 48 50 51 57 60 61 ,-349.200012,100.000000,0,
6,0.250000,0.250000,50,50,1 3 5 6 13 17 20 21 23 24 26 30 32 36 40 42 43 54 62 64 ,-348.333344,100.000000,0,
7,0.250000,0.250000,50,50,1 4 5 6 19 22 24 25 28 29 30 35 36 39 40 47 54 57 59 60 64 ,-353.142853,100.000000,0,
8,0.250000,0.250000,50,50,6 10 12 14 16 18 21 24 25 28 35 36 38 43 44 45 47 51 57 61 63 ,-356.500000,100.000000,0,
9,0.250000,0.250000,50,50,2 6 9 12 14 15 19 22 27 28 32 34 39 40 41 43 45 49 54 57 58 ,-360.000000,100.000000,0,
3,0.250000,0.250000,50,50,1 4 6 10 15 34 36 37 39 40 41 47 53 58 ,-324.000000,100.000000,0,
