Instancias\Testes\Evolutivo Instancia-Ins1-Pr0.050000-Pm0.050000-Ger250-Pop250-Iter10,
Iteracao,Probbilidade de mutacao,Probabilidade de crossover,Tamanho da populacao,Maximo Geracoes,Solucao,MBF,Percentagem de Invalidos,Melhor,
0,0.050000,0.050000,250,250,1 2 4 14 19 25 ,-inf,100.000000,0,
1,0.050000,0.050000,250,250,1 2 3 8 11 17 ,-22.000000,100.000000,0,
2,0.050000,0.050000,250,250,17 23 25 ,-12.000000,100.000000,0,
3,0.050000,0.050000,250,250,8 12 13 14 17 ,-10.666667,100.000000,0,
4,0.050000,0.050000,250,250,2 11 13 14 15 19 ,-11.000000,100.000000,0,
5,0.050000,0.050000,250,250,8 12 21 27 ,-9.600000,100.000000,0,
6,0.050000,0.050000,250,250,11 15 22 24 27 ,-9.000000,100.000000,0,
7,0.050000,0.050000,250,250,7 8 12 27 ,-8.571428,100.000000,0,
8,0.050000,0.050000,250,250,3 13 22 23 24 27 28 ,-9.000000,100.000000,0,
9,0.050000,0.050000,250,250,8 9 12 17 ,-8.444445,100.000000,0,
2,0.050000,0.050000,250,250,17 23 25 ,-7.600000,100.000000,0,
