Instancias\Testes\Evolutivo Instancia-Ins2-Pr0.250000-Pm0.250000-Ger10-Pop10-Iter10,
Iteracao,Probbilidade de mutacao,Probabilidade de crossover,Tamanho da populacao,Maximo Geracoes,Solucao,MBF,Percentagem de Invalidos,Melhor,
0,0.250000,0.250000,10,10,12 13 15 17 19 21 26 28 29 31 34 35 36 41 43 45 49 50 52 54 56 59 ,-inf,100.000000,0,
1,0.250000,0.250000,10,10,1 2 5 12 13 15 16 23 25 27 30 32 33 34 36 42 45 47 49 51 56 59 61 63 ,-916.000000,100.000000,0,
2,0.250000,0.250000,10,10,1 5 7 8 9 11 16 21 23 26 29 33 41 42 45 46 50 51 53 54 58 59 60 ,-685.000000,100.000000,0,
3,0.250000,0.250000,10,10,4 8 9 10 12 13 14 15 16 19 27 29 30 31 32 33 39 40 45 49 51 53 57 59 61 ,-632.000000,100.000000,0,
4,0.250000,0.250000,10,10,2 4 9 19 22 27 28 29 33 34 38 40 41 42 43 47 48 49 51 55 59 63 64 ,-587.000000,100.000000,0,
5,0.250000,0.250000,10,10,1 2 3 6 7 8 9 12 18 19 21 32 33 45 48 51 52 54 56 58 60 63 64 ,-562.400024,100.000000,0,
6,0.250000,0.250000,10,10,1 3 4 10 14 15 20 21 22 24 25 29 33 34 35 37 38 39 41 42 43 45 55 60 62 ,-559.666687,100.000000,0,
7,0.250000,0.250000,10,10,5 7 8 12 15 18 22 24 25 26 27 28 32 38 44 47 48 51 56 60 62 64 ,-538.285706,100.000000,0,
8,0.250000,0.250000,10,10,5 6 8 11 13 16 17 19 20 22 28 29 30 31 33 36 37 44 45 49 51 52 53 63 64 ,-539.000000,100.000000,0,
9,0.250000,0.250000,10,10,1 9 10 11 13 16 18 22 23 26 28 33 35 37 42 45 48 53 54 60 63 ,-521.555542,100.000000,0,
9,0.250000,0.250000,10,10,1 9 10 11 13 16 18 22 23 26 28 33 35 37 42 45 48 53 54 60 63 ,-469.399994,100.000000,0,
