Instancias\Testes\Evolutivo Instancia-Ins1-Pr0.250000-Pm0.250000-Ger10-Pop10-Iter10,
Iteracao,Probbilidade de mutacao,Probabilidade de crossover,Tamanho da populacao,Maximo Geracoes,Solucao,MBF,Percentagem de Invalidos,Melhor,
0,0.250000,0.250000,10,10,6 12 15 17 18 19 23 24 25 26 ,-inf,100.000000,0,
1,0.250000,0.250000,10,10,2 5 8 9 10 12 16 19 28 ,-94.000000,100.000000,0,
2,0.250000,0.250000,10,10,3 8 9 10 12 13 19 24 27 ,-66.000000,100.000000,0,
3,0.250000,0.250000,10,10,1 2 6 14 16 18 23 27 ,-55.333332,100.000000,0,
4,0.250000,0.250000,10,10,2 11 13 15 16 19 20 28 ,-48.500000,100.000000,0,
5,0.250000,0.250000,10,10,5 12 13 15 19 27 ,-41.599998,100.000000,0,
6,0.250000,0.250000,10,10,3 6 22 26 ,-36.000000,100.000000,0,
7,0.250000,0.250000,10,10,1 17 18 20 24 25 ,-33.428570,100.000000,0,
8,0.250000,0.250000,10,10,4 5 8 11 14 15 16 22 23 ,-34.000000,100.000000,0,
9,0.250000,0.250000,10,10,1 2 6 13 18 22 24 26 ,-32.888889,100.000000,0,
6,0.250000,0.250000,10,10,3 6 22 26 ,-29.600000,100.000000,0,
