Instancias\Testes\Evolutivo Instancia-Ins1-Pr0.010000-Pm0.010000-Ger50-Pop50-Iter10,
Iteracao,Probbilidade de mutacao,Probabilidade de crossover,Tamanho da populacao,Maximo Geracoes,Solucao,MBF,Percentagem de Invalidos,Melhor,
0,0.010000,0.010000,50,50,3 4 12 14 17 19 24 28 ,-inf,100.000000,0,
1,0.010000,0.010000,50,50,2 10 15 18 19 25 27 ,-58.000000,100.000000,0,
2,0.010000,0.010000,50,50,2 4 10 15 21 22 ,-38.000000,100.000000,0,
3,0.010000,0.010000,50,50,7 8 16 20 23 25 26 ,-31.333334,100.000000,0,
4,0.010000,0.010000,50,50,2 7 11 12 17 18 19 ,-29.500000,100.000000,0,
5,0.010000,0.010000,50,50,7 11 20 22 27 28 ,-26.000000,100.000000,0,
6,0.010000,0.010000,50,50,5 8 15 17 18 19 21 23 ,-26.000000,100.000000,0,
7,0.010000,0.010000,50,50,7 13 18 19 20 21 22 24 27 ,-27.714285,100.000000,0,
8,0.010000,0.010000,50,50,2 9 10 15 24 28 ,-26.250000,100.000000,0,
9,0.010000,0.010000,50,50,3 6 8 10 13 20 23 27 ,-26.888889,100.000000,0,
5,0.010000,0.010000,50,50,7 11 20 22 27 28 ,-24.200001,100.000000,0,
