Instancias\Testes\Evolutivo Instancia-Ins1-Pr0.010000-Pm0.010000-Ger250-Pop250-Iter10,
Iteracao,Probbilidade de mutacao,Probabilidade de crossover,Tamanho da populacao,Maximo Geracoes,Solucao,MBF,Percentagem de Invalidos,Melhor,
0,0.010000,0.010000,250,250,6 9 14 18 19 21 ,-inf,100.000000,0,
1,0.010000,0.010000,250,250,2 3 9 14 23 ,-22.000000,100.000000,0,
2,0.010000,0.010000,250,250,5 10 14 15 19 23 ,-17.000000,100.000000,0,
3,0.010000,0.010000,250,250,1 2 12 16 20 22 ,-16.000000,100.000000,0,
4,0.010000,0.010000,250,250,2 8 13 15 26 ,-14.500000,100.000000,0,
5,0.010000,0.010000,250,250,9 13 18 26 ,-12.400000,100.000000,0,
6,0.010000,0.010000,250,250,14 22 23 24 25 28 ,-11.666667,100.000000,0,
7,0.010000,0.010000,250,250,3 7 9 10 16 ,-11.428572,100.000000,0,
8,0.010000,0.010000,250,250,9 15 18 19 20 ,-10.750000,100.000000,0,
9,0.010000,0.010000,250,250,2 9 22 23 24 25 ,-10.666667,100.000000,0,
5,0.010000,0.010000,250,250,9 13 18 26 ,-9.600000,100.000000,0,
