Instancias\Testes\Evolutivo Instancia-Ins1-Pr0.250000-Pm0.250000-Ger50-Pop50-Iter10,
Iteracao,Probbilidade de mutacao,Probabilidade de crossover,Tamanho da populacao,Maximo Geracoes,Solucao,MBF,Percentagem de Invalidos,Melhor,
0,0.250000,0.250000,50,50,4 5 11 14 23 25 28 ,-inf,100.000000,0,
1,0.250000,0.250000,50,50,2 3 4 5 13 18 22 ,-38.000000,100.000000,0,
2,0.250000,0.250000,50,50,3 5 8 20 23 26 28 ,-27.000000,100.000000,0,
3,0.250000,0.250000,50,50,6 7 11 16 19 26 ,-24.000000,100.000000,0,
4,0.250000,0.250000,50,50,4 20 22 25 27 ,-20.500000,100.000000,0,
5,0.250000,0.250000,50,50,3 6 10 12 15 21 ,-19.600000,100.000000,0,
6,0.250000,0.250000,50,50,7 10 16 17 19 20 22 ,-19.000000,100.000000,0,
7,0.250000,0.250000,50,50,2 9 10 11 15 22 24 ,-19.142857,100.000000,0,
8,0.250000,0.250000,50,50,14 16 19 20 21 22 25 ,-19.000000,100.000000,0,
9,0.250000,0.250000,50,50,1 6 11 13 19 27 ,-18.888889,100.000000,0,
4,0.250000,0.250000,50,50,4 20 22 25 27 ,-17.000000,100.000000,0,
